x,y,z,theta_0,theta_1
-2.69128,1.29671,-0.158364,2.64288,3.11894
-2.54958,1.32466,0.487423,2.68023,3.32815
-2.25201,-1.35679,0.777281,3.69505,3.8211
0.791585,0.76894,-0.443193,1.65745,0.412859
1.96656,-0.869126,-0.988678,0.0143353,1.98126
-1.04773,-2.38206,-0.798275,4.32073,2.50653
1.18199,-2.36436,-0.765571,5.33137,2.01753
1.64524,-1.24661,-0.997938,6.14048,1.82697
-1.23344,-0.711989,0.817579,4.25628,5.51307
1.09268,0.282151,-0.490436,1.26486,0.641367
-0.57183,-2.31677,-0.922374,4.50292,2.32008
-2.3983,-1.11067,0.765871,3.64797,3.89056
1.31921,-2.55106,0.489556,5.2758,4.4372
-1.01263,-0.207455,0.25729,4.37871,5.98031
0.630764,-1.50289,0.928987,5.74366,5.34144
2.9992,-0.0563462,0.0234638,6.28159,2.84204
-0.593914,0.811489,-0.105758,3.38229,0.0259314
0.619877,1.1449,0.716034,2.12216,5.70296
-2.13126,1.72568,-0.670058,2.52769,2.6735
0.028656,-1.49515,0.863366,5.40768,5.40172
-1.37195,0.550895,-0.853201,3.23777,0.876382
-0.926298,-0.574706,-0.414824,4.73477,0.436577
1.17924,1.21472,0.951702,1.50732,5.46208
-0.152542,-1.00917,0.202098,5.75568,6.12554
-0.249188,1.30262,0.738954,2.59326,5.73224
0.757431,1.93495,0.99696,1.69189,5.37506
1.85743,-2.16236,0.52583,5.44841,4.49315
-2.70879,-1.16035,0.321665,3.56993,3.35625
-2.16038,0.211081,0.985328,3.44903,5.10335
2.30619,-1.70172,0.499924,5.7748,4.35384
2.21624,1.32978,0.811342,0.801181,4.56968
-0.898618,-2.55398,0.706751,4.42804,4.18751
-0.612019,1.14748,0.714624,2.95513,5.75985
0.936923,1.85058,0.997241,1.6185,5.36792
-1.36518,-2.67095,0.0276982,4.18798,3.17812
-1.93909,2.2611,0.205322,2.27101,3.05529
-1.4426,2.62815,-0.0624543,2.1037,2.93739
1.90468,-0.703656,0.999535,6.15558,4.99022
0.929371,2.81798,0.253723,1.25263,3.1818
-1.2936,-0.0991401,-0.711579,4.07733,0.696313
1.04023,0.158151,-0.318807,1.26491,0.400566
0.63907,1.05575,0.642967,2.08894,5.73117
1.40928,-1.26756,-0.994521,6.1404,1.76364
0.713437,-2.83422,-0.385683,4.98138,2.3435
-1.12865,-0.421106,0.606157,4.30235,5.71692
0.22241,1.27215,0.705658,2.34401,5.73038
-0.938603,-0.356338,-0.0889987,4.64203,0.133461
2.09128,0.159915,0.995247,0.371609,5.00869
-0.566791,-2.39353,0.888061,4.60657,4.57821
-0.256091,-1.20795,0.643788,5.42964,5.65139
-0.94641,-1.23679,-0.896694,4.60947,1.23686
-2.29208,-1.92888,0.0926695,3.81527,3.12732
2.36646,1.18183,0.764047,0.736266,4.44723
0.0532222,2.35645,-0.934087,1.81725,2.39325
-1.34494,-0.678676,0.869734,4.21346,5.49757
-0.840753,0.659064,-0.363188,3.53541,0.254103
2.93613,-0.147281,0.341655,6.25321,3.09661
0.932175,-0.484261,-0.313636,0.678385,0.485189
1.72385,2.43674,0.173403,1.13398,3.18502
-1.91299,-1.21335,0.964156,3.80774,4.6712
-0.349153,-0.993546,0.321558,5.59432,6.01183
0.661313,0.76494,-0.14906,1.81546,0.106706
-1.03694,2.49915,0.708476,2.07319,3.40535
-0.219512,-1.00935,0.254548,5.6907,6.06989
1.78096,-1.2751,-0.981713,6.13705,1.87416
-0.940609,1.4469,-0.961662,2.56012,1.61582
0.0916027,1.3165,0.732915,2.39986,5.72987
0.436068,-0.90024,0.0242213,0.131697,0.0879341
-1.98246,-1.17213,-0.952974,3.86279,1.96991
-1.8966,0.281018,0.996575,3.52902,5.29536
-0.101848,2.63439,0.771396,1.7721,3.76318
2.6758,1.31417,-0.193505,0.721527,3.01642
2.68117,0.30268,-0.715904,0.296017,2.37971
-2.36933,-1.30197,-0.710706,3.77937,2.32213
0.365343,0.941896,0.14294,2.30826,6.06369
2.94034,-0.455616,0.220302,6.20885,3.17101
1.52654,1.22263,-0.999023,1.11865,2.15954
-2.14848,0.667041,-0.968336,2.9414,2.0517
-2.34767,1.82909,-0.217341,2.48549,2.95907
0.329944,2.95648,0.222927,1.5679,3.2901
-0.0186418,-2.38442,-0.923128,4.81828,2.10996
-0.917374,-1.163,0.854936,4.80765,5.4957
-0.227532,-1.48222,-0.865784,5.36213,1.15086
2.43909,1.39751,-0.584934,0.76436,2.7253
-1.19717,1.58941,0.999948,2.67957,5.33688
-2.97589,-0.372772,-0.04128,3.30446,3.2232
-2.66238,1.32048,0.235575,2.65001,3.24641
2.66218,0.694554,0.65997,0.473871,4.2621
0.347017,0.945703,0.121107,2.31787,6.07098
1.69946,-0.611547,-0.981031,0.182154,1.85746
1.51167,2.46925,-0.445607,1.1262,2.82796
1.53958,-2.06259,-0.818975,5.53508,1.96775
1.30618,-2.6817,-0.184212,5.17909,2.73287
